Name,SalePrice,DateOfSale,Year,Mileage,Classification,Transmission,FuelType,Description,SaleLocation
mercedes-benz glb class (amg line),50392,20/02/2024,2022,3214,suv,automatic,petrol,navy mercedes-benz glb. 200 amg line premium 5dr 7g-tronic petrol estate 1.3,tipperary
mercedes-benz cla class (cla180),17888.00,21/02/2024,2018,65134,saloon,manual,petrol,"blue mercedes-benz cla. 1.6 cla 180 amg line 4d 121 bhp \xa31,455 upgraded extras, 8in garmin satellite navigation display, reverse camera / parking sensors, apple carplay / an",louth
mercedes-benz c class (c63 v8 biturbo),43115,2024-02-22,2017,15328,coupe,automatic,petrol,black mercedes-benz c class amg coupe. c63 2dr auto 4.0. 2 previous owners,cavan
mercedes-benz sl class (amg sport),28255.00,22/02/2024,2016,50994,convertible,automatic,petrol,red mercedes-benz sl. 3.0 sl400 amg sport 2d 329 bhp,dublin
mercedes-benz slk (slk250 cdi),11433.00,24/02/2024,2012,77375,convertible,automatic,diesel,silver mercedes-benz slk. 2.1 slk250 cdi blueefficiency amg sport g-tronic+ euro 5 (s/s) 2dr,louth
mercedes-benz c class (sport),10128.00,25/02/2024,2012,60065,saloon,automatic,petrol,blue mercedes-benz c class. 1.8 c180 blueefficiency sport g-tronic+ euro 5 (s/s) 4dr. 2 previous owners,louth
mercedes-benz e class (amg night edition),16748.00,2024-02-25,2015,40260,saloon,automatic,diesel,navy mercedes-benz e-class. 2.1l e220 bluetec amg night edition premium 4d auto 174 bhp ** mega spec ** pan roof **,dublin
mercedes-benz e class (amg line),27207.00,26/02/2024,2018,43645,saloon,automatic,diesel,blue mercedes-benz e220. d 4matic amg line premium used cars 2.0 4dr. 2 previous owners,offaly
mercedes-benz m class (blueefficiency),12770.00,27/02/2024,2011,55034,s.u.v.,auto,diesel,grey mercedes-benz m class. 3.0 ml350 cdi v6 blueefficiency sport 4wd 5dr. 3 previous owners,galway
mercedes-benz e class (e220d),21279.00,28/02/2024,2018,60194,coupe,automatic,diesel,red mercedes-benz e class. 2.0 e220d amg line g-tronic+ euro 6 (s/s) 2dr,wicklow
mercedes-benz e class (sport),8839.00,28/02/2024,2010,37443,saloon,automatic,diesel,mercedes-benz e class. 2.1 e250 cdi blueefficiency sport saloon 4dr diesel tiptronic euro 5 (204 ps). 1 previous owner,kildare
mercedes-benz e class (amg sport),10640.00,28/02/2024,2014,103260,saloon,automatic,diesel,grey mercedes-benz e-class. 2.1 e250 cdi amg sport 4d 202 bhp service history*leather*auto*2 keys,waterford
mercedes-benz cla class (amg line edition),18573.00,28/02/2024,2019,42109,saloon,manual,petrol,red mercedes-benz cla class. cla 180 amg line edition 4dr 1.6. 2 previous owners,kerry
mercedes-benz c class (c250),14817.00,29/02/2024,2014,45114,saloon,automatic,diesel,blue mercedes-benz c class. 2.1 c250 bluetec amg line g-tronic+ euro 6 (s/s) 4dr. 2 previous owners,donegal
mercedes-benz c class (sport),16642.00,29/02/2024,2017,44006,saloon,automatic,diesel,silver mercedes-benz c class. c250d sport 4dr auto 2.1,dublin
mercedes-benz c class (sport),6602.00,29/02/2024,2008,74926,saloon,automatic,diesel,black mercedes-benz c-class. 2.1 c220 cdi sport auto 170 bhp genuine px bargain! 4dr,westmeath
mercedes-benz a class (a180d),19878,29/02/2024,2019,33310,hatchback,automatic,diesel,blue mercedes-benz a class. a180d sport 5dr auto 1.5. 3 previous owners,donegal
mercedes-benz e class (amg line),29086.00,01/03/2024,2019,36346,saloon,automatic,diesel,red mercedes-benz e class. 2l amg line e220d 4dr,cork
mercedes-benz c class (c200),26018.00,2024-03-01,2019,34929,coupe,automatic,petrol,mercedes-benz c-class. 1.5 c 200 amg line 2d 181 bhp,waterford
mercedes-benz a class (a160),16270.00,01/03/2024,2018,28488,hatchback,manual,petrol,silver mercedes-benz a class. 1.6 a160 amg line hatchback 5dr petrol manual euro 6 (s/s) (102 ps). 1 previous owner,kildare
mercedes-benz e class (e350d v6),16640,02/03/2024,2015,41482,coupe,automatic,diesel,blue mercedes-benz e class. 3.0 e350d v6 bluetec amg line g-tronic+ euro 6 (s/s) 2dr. 3 previous owners,mayo
mercedes-benz m class (ml350 v6),16701,02/03/2024,2014,70633,suv,automatic,diesel,blue mercedes-benz m class. 3.0 ml350 v6 bluetec amg sport g-tronic 4wd euro 6 (s/s) 5dr,longford
mercedes-benz gla class (gla180),22221.00,03/03/2024,2019,24126,suv,automatic,petrol,red mercedes-benz gla. gla 180 urban edition 5dr auto 1.6. 1 previous owner,longford
mercedes-benz gle class (gle300d),54796.00,04/03/2024,2021,16901,suv,automatic,diesel,grey mercedes-benz gle. 300d 4matic amg line prem 5dr 9g-tronic [7 st] 2.0. 1 previous owner,cork
mercedes-benz cla class (sport),14450.00,04/03/2024,2015,68203,estate,automatic,diesel,red mercedes-benz cla class. 2.1 cla200d sport shooting brake 7g-dct euro 6 (s/s) 5dr. 2 previous owners,monaghan
mercedes-benz c class (c63 v8),45120,06/03/2024,2012,59097,coupe,automatic,petrol,red mercedes-benz c class. 6.3 c63 v8 amg edition 125 spds mct euro 5 2dr,donegal
mercedes-benz amg gt 63 (s),108258.00,06/03/2024,2020,11365,coupe,automatic,petrol,blue mercedes-benz amg gt 63. 4.0 63 v8 biturbo s (premium) spds mct 4matic+ euro 6 (s/s) 4dr,dublin
mercedes-benz c class (c180),11856,08/03/2024,2013,60937,saloon,automatic,petrol,red mercedes-benz c class. 1.6 c180 blueefficiency amg sport plus g-tronic+ euro 5 (s/s) 4dr. 2 previous owners,cork
mercedes-benz e class (e220 cdi),5709.00,10/03/2024,2011,107287,saloon,auto,diesel,black mercedes-benz e class. 2.1 e220 cdi blueefficiency executive se g-tronic+ euro 5 (s/s) 4dr,cork
mercedes-benz c class (c220d),16427.00,10/03/2024,2014,47219,saloon,automatic,diesel,red mercedes-benz c-class. 2.1 c220 bluetec sport premium plus 4d auto 170 bhp ulez | reversing camera | leather,louth
mercedes-benz slk (slk250 cdi),14359.00,11/03/2024,2014,34669,convertible,automatic,diesel,navy mercedes-benz slk. slk 250 amg sport 2dr tip auto 2.1. 1 previous owner,dublin
mercedes-benz gla class (gla200),22213.00,11/03/2024,2017,30853,suv,automatic,petrol,grey mercedes-benz gla. gla 200 amg line executive 5dr auto 1.6. 2 previous owners,sligo
